iter	RMSE
983	0.3630917595
984	0.3629919027
985	0.3629196434
986	0.3628431698
987	0.3627933059
988	0.3627288983
989	0.3626594661
990	0.3625643608
991	0.362465222
992	0.3623417309
993	0.3622969709
994	0.3622122556
995	0.3621137115
996	0.3620328349
997	0.3619630786
998	0.3618415214
999	0.3617809932
